DATE,BUSINV
2007-10-01,1466275
2007-11-01,1476711
2007-12-01,1488235
2008-01-01,1500273
2008-02-01,1507254
2008-03-01,1507954
2008-04-01,1514500
2008-05-01,1517410
2008-06-01,1526797
2008-07-01,1535784
2008-08-01,1539096
2008-09-01,1528676
2008-10-01,1514303
2008-11-01,1498141
2008-12-01,1465791
2009-01-01,1448108
2009-02-01,1427127
2009-03-01,1406242
2009-04-01,1387601
2009-05-01,1372420
2009-06-01,1354610
2009-07-01,1338635
2009-08-01,1321616
2009-09-01,1315445
2009-10-01,1323731
2009-11-01,1334188
2009-12-01,1331724
2010-01-01,1334024
2010-02-01,1342810
2010-03-01,1348723
2010-04-01,1353793
2010-05-01,1358003
2010-06-01,1367802
2010-07-01,1380021
2010-08-01,1391903
2010-09-01,1407137
2010-10-01,1423612
2010-11-01,1434604
2010-12-01,1450655
2011-01-01,1462613
2011-02-01,1472405
2011-03-01,1489202
2011-04-01,1502745
2011-05-01,1520933
2011-06-01,1527307
2011-07-01,1534675
2011-08-01,1542149
2011-09-01,1536963
2011-10-01,1551018
2011-11-01,1558157
2011-12-01,1567519
2012-01-01,1573930
2012-02-01,1587109
2012-03-01,1593441
2012-04-01,1601743
2012-05-01,1606170
2012-06-01,1612127
2012-07-01,1625149
2012-08-01,1631918
2012-09-01,1644771
2012-10-01,1645674
2012-11-01,1651868
2012-12-01,1658372
2013-01-01,1670510
2013-02-01,1672719
2013-03-01,1672793
2013-04-01,1676749
2013-05-01,1672742
2013-06-01,1675962
2013-07-01,1680327
2013-08-01,1689002
2013-09-01,1698527
2013-10-01,1708488
2013-11-01,1718498
2013-12-01,1727517
2014-01-01,1733641
2014-02-01,1743177
2014-03-01,1751233
2014-04-01,1758236
2014-05-01,1766201
2014-06-01,1770242
2014-07-01,1775330
2014-08-01,1781548
2014-09-01,1783478
2014-10-01,1787514
2014-11-01,1792479
2014-12-01,1790258
2015-01-01,1790541
2015-02-01,1796110
2015-03-01,1799513
2015-04-01,1805536
2015-05-01,1809895
2015-06-01,1821352
2015-07-01,1821934
2015-08-01,1824656
2015-09-01,1828249
2015-10-01,1830953
2015-11-01,1827209
2015-12-01,1823662
2016-01-01,1823964
2016-02-01,1819217
2016-03-01,1825535
2016-04-01,1831509
2016-05-01,1836736
2016-06-01,1837378
2016-07-01,1838941
2016-08-01,1839478
2016-09-01,1842511
2016-10-01,1843940
2016-11-01,1855581
2016-12-01,1859476
2017-01-01,1863533
2017-02-01,1866788
2017-03-01,1870321
2017-04-01,1868727
2017-05-01,1873141
2017-06-01,1881356
2017-07-01,1888090
2017-08-01,1898902
2017-09-01,1901909
2017-10-01,1902866
2017-11-01,1910844
2017-12-01,1917863
2018-01-01,1926128
2018-02-01,1937107
2018-03-01,1936750
2018-04-01,1941928
2018-05-01,1944939
2018-06-01,1947405
2018-07-01,1958405
2018-08-01,1969335
2018-09-01,1979715
2018-10-01,1989311
2018-11-01,1987184
2018-12-01,2001713
2019-01-01,2015507
2019-02-01,2024558
2019-03-01,2026682
2019-04-01,2037747
2019-05-01,2042706
2019-06-01,2045451
2019-07-01,2050688
2019-08-01,2051745
2019-09-01,2050356
2019-10-01,2049771
2019-11-01,2045201
2019-12-01,2043089
2020-01-01,2035366
2020-02-01,2024835
2020-03-01,2019013
2020-04-01,1990821
2020-05-01,1943475
2020-06-01,1920935
2020-07-01,1923969
2020-08-01,1935064
2020-09-01,1949483
2020-10-01,1966575
2020-11-01,1975547
2020-12-01,1985542
2021-01-01,1997969
2021-02-01,2012101
2021-03-01,2011921
2021-04-01,2008834
2021-05-01,2021110
2021-06-01,2037482
2021-07-01,2052646
2021-08-01,2070538
2021-09-01,2088896
2021-10-01,2114550
2021-11-01,2146651
2021-12-01,2197933
2022-01-01,2227277
2022-02-01,2265923
2022-03-01,2314760
2022-04-01,2344496
2022-05-01,2383214
2022-06-01,2414605
2022-07-01,2426864
2022-08-01,2448394
2022-09-01,2452641
2022-10-01,2458874
2022-11-01,2466292
2022-12-01,2472058
2023-01-01,2466430
2023-02-01,2471584
